ruta,curso,slug,objetivo_profesional,conceptos_teoricos,modulos_recomendados,caso_practico,producto_final,fuentes_base
Contenido Plus,Astronomía General para Curiosos,astronomia_general_curiosos_v0_6_publica,observación del cielo y lectura crítica de noticias astronómicas,sistema solar; estrellas; galaxias; escalas cósmicas; telescopios; eclipses; movimiento aparente; cosmología; exoplanetas; método científico,"Problema que resuelve el curso y contexto profesional | Fundamentos: sistema solar, estrellas, galaxias, escalas cósmicas | Conceptos intermedios: telescopios, eclipses, movimiento aparente | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Astronomía General para Curiosos' para resolver un problema concreto.",guía de observación inicial + glosario astronómico,"NASA, ESA, OpenStax Astronomy, IAU"
Ruta 1 - Ciudadanía Digital y Seguridad,Seguridad Digital para Docentes,seguridad_digital_docentes_v0_6_publica,"gestionar aulas digitales, datos e IA con responsabilidad",riesgo digital; autenticación; contraseñas; doble factor; phishing; permisos; datos personales; respuesta a incidentes; recuperación; prevención,"Problema que resuelve el curso y contexto profesional | Fundamentos: riesgo digital, autenticación, contraseñas, doble factor | Conceptos intermedios: phishing, permisos, datos personales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Seguridad Digital para Docentes' para resolver un problema concreto.",guía docente de seguridad e IA,"UNESCO AI competency framework, DigCompEdu, Google for Education"
Ruta 1 - Ciudadanía Digital y Seguridad,Seguridad Familiar en Internet,seguridad_familiar_internet_v0_6_publica,crear acuerdos familiares de uso responsable,riesgo digital; autenticación; contraseñas; doble factor; phishing; permisos; datos personales; respuesta a incidentes; recuperación; prevención,"Problema que resuelve el curso y contexto profesional | Fundamentos: riesgo digital, autenticación, contraseñas, doble factor | Conceptos intermedios: phishing, permisos, datos personales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Seguridad Familiar en Internet' para resolver un problema concreto.",acuerdo familiar digital,"Google Family Link, UNICEF online safety, DigComp 2.2"
Ruta 1 - Ciudadanía Digital y Seguridad,Trámites Digitales Argentina,tramites_digitales_argentina_v0_6_publica,realizar trámites básicos y guardar comprobantes con orden,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Trámites Digitales Argentina' para resolver un problema concreto.",mapa personal de trámites digitales,"Argentina.gob.ar, Mi Argentina, ARCA, ANSES"
"Ruta 2 - Trabajo, Productividad e IA",Atención al Cliente por WhatsApp y Redes,atencion_cliente_whatsapp_redes_v0_6_publica,"responder, organizar y convertir consultas comerciales",perfil comercial; catálogo; etiquetas; respuestas rápidas; seguimiento; conversación; embudo; reclamos; posventa; métricas,"Problema que resuelve el curso y contexto profesional | Fundamentos: perfil comercial, catálogo, etiquetas, respuestas rápidas | Conceptos intermedios: seguimiento, conversación, embudo | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Atención al Cliente por WhatsApp y Redes' para resolver un problema concreto.",manual de respuestas y etiquetas,"WhatsApp Business Help, Meta Business Help, HubSpot Service principles"
"Ruta 2 - Trabajo, Productividad e IA",Automatización con IA para Tareas Repetitivas,automatizacion_ia_tareas_v0_6_publica,identificar tareas automatizables con supervisión humana,IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Automatización con IA para Tareas Repetitivas' para resolver un problema concreto.",matriz de automatización segura,"NIST AI RMF, UNESCO AI competency, OpenAI/Google/Microsoft AI guidance"
"Ruta 2 - Trabajo, Productividad e IA","CV, LinkedIn y Búsqueda Laboral Digital",cv_linkedin_busqueda_laboral_v0_6_publica,construir perfil laboral digital y estrategia de búsqueda,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'CV, LinkedIn y Búsqueda Laboral Digital' para resolver un problema concreto.",CV + perfil LinkedIn optimizado,"LinkedIn Help, Europass, Harvard career resources"
"Ruta 2 - Trabajo, Productividad e IA",Excel y Google Sheets desde Cero,excel_google_sheets_desde_cero_v0_6_publica,"usar planillas con fórmulas, filtros y organización básica",celdas; rangos; fórmulas; funciones; referencias; filtros; tablas; tablas dinámicas; gráficos; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: celdas, rangos, fórmulas, funciones | Conceptos intermedios: referencias, filtros, tablas | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Excel y Google Sheets desde Cero' para resolver un problema concreto.",planilla personal funcional,"Microsoft Excel training, Google Sheets Help"
"Ruta 2 - Trabajo, Productividad e IA",Google Workspace para Trabajo y Datos,google_workspace_trabajo_datos_web_v0_6_publica,"colaborar, organizar y analizar información en Workspace",problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Google Workspace para Trabajo y Datos' para resolver un problema concreto.","flujo de trabajo con Drive, Forms y Sheets",Google Workspace Learning Center
"Ruta 2 - Trabajo, Productividad e IA",IA Práctica para Trabajadores y Emprendedores,ia_practica_web_v0_6_publica,"usar IA generativa con criterio, privacidad y revisión humana",IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'IA Práctica para Trabajadores y Emprendedores' para resolver un problema concreto.",kit de prompts verificados y checklist de riesgos,"UNESCO AI competency frameworks, NIST AI RMF, OECD AI principles"
"Ruta 2 - Trabajo, Productividad e IA","Notion, Trello y Organización Personal",notion_trello_organizacion_v0_6_publica,"organizar tareas, proyectos y conocimiento personal",problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Notion, Trello y Organización Personal' para resolver un problema concreto.",tablero Kanban + sistema semanal,"Atlassian/Trello guides, Notion Help, Kanban literature"
"Ruta 2 - Trabajo, Productividad e IA",Simulador Laboral de Soporte Técnico,soporte_tecnico_web_v0_6_publica,diagnosticar incidentes y comunicar soluciones,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Simulador Laboral de Soporte Técnico' para resolver un problema concreto.",bitácora de tickets simulados,"ITIL concepts, Microsoft Support, CompTIA troubleshooting methodology"
"Ruta 2 - Trabajo, Productividad e IA",Teletrabajo Seguro y Productivo,teletrabajo_seguro_productivo_v0_6_publica,"trabajar remoto con seguridad, comunicación y límites",riesgo digital; autenticación; contraseñas; doble factor; phishing; permisos; datos personales; respuesta a incidentes; recuperación; prevención,"Problema que resuelve el curso y contexto profesional | Fundamentos: riesgo digital, autenticación, contraseñas, doble factor | Conceptos intermedios: phishing, permisos, datos personales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Teletrabajo Seguro y Productivo' para resolver un problema concreto.",plan personal de teletrabajo seguro,"NIST telework cybersecurity, Google Workspace, Microsoft remote work guidance"
"Ruta 3 - Datos, BI y Herramientas",Analista de Datos Ciudadano,analista_datos_ciudadano_web_v0_6_publica,convertir preguntas cotidianas en análisis simples,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Analista de Datos Ciudadano' para resolver un problema concreto.",mini informe de datos ciudadano,"Microsoft Power BI, Tableau, Data Literacy Project"
"Ruta 3 - Datos, BI y Herramientas",Calidad de Datos para Principiantes,calidad_datos_principiantes_v0_6_publica,"detectar errores, duplicados, nulos y reglas de calidad",IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Calidad de Datos para Principiantes' para resolver un problema concreto.",checklist de calidad de datos,"DAMA-DMBOK concepts, Great Expectations docs, ISO 8000 concepts"
"Ruta 3 - Datos, BI y Herramientas",Catálogo de Datos y Alation,catalogo_datos_alation_web_v0_6_publica,"entender metadatos, glosario, linaje y confianza en datos",gobierno de datos; metadatos; glosario; linaje; propietario de datos; calidad; seguridad; políticas; ciclo de vida; responsabilidad,"Problema que resuelve el curso y contexto profesional | Fundamentos: gobierno de datos, metadatos, glosario, linaje | Conceptos intermedios: propietario de datos, calidad, seguridad | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Catálogo de Datos y Alation' para resolver un problema concreto.",modelo básico de catálogo de datos,"Alation resources, DAMA-DMBOK, data governance literature"
"Ruta 3 - Datos, BI y Herramientas",Estadística Básica para Decisiones,estadistica_basica_decisiones_v0_6_publica,usar estadística descriptiva para decidir mejor,población; muestra; variable; media; mediana; moda; dispersión; percentiles; correlación; causalidad,"Problema que resuelve el curso y contexto profesional | Fundamentos: población, muestra, variable, media | Conceptos intermedios: mediana, moda, dispersión | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Estadística Básica para Decisiones' para resolver un problema concreto.","informe con media, dispersión y gráficos","OpenStax Statistics, Khan Academy, NIST/SEMATECH e-Handbook"
"Ruta 3 - Datos, BI y Herramientas",Excel para Análisis de Datos,excel_analisis_datos_v0_6_publica,"limpiar, resumir y visualizar datos tabulares",celdas; rangos; fórmulas; funciones; referencias; filtros; tablas; tablas dinámicas; gráficos; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: celdas, rangos, fórmulas, funciones | Conceptos intermedios: referencias, filtros, tablas | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Excel para Análisis de Datos' para resolver un problema concreto.",dashboard simple en planilla,"Microsoft Excel training, Google Sheets Help"
"Ruta 3 - Datos, BI y Herramientas",Gobierno de Datos Básico,gobierno_datos_basico_v0_6_publica,"definir roles, reglas, calidad, seguridad y ciclo de vida del dato",gobierno de datos; metadatos; glosario; linaje; propietario de datos; calidad; seguridad; políticas; ciclo de vida; responsabilidad,"Problema que resuelve el curso y contexto profesional | Fundamentos: gobierno de datos, metadatos, glosario, linaje | Conceptos intermedios: propietario de datos, calidad, seguridad | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Gobierno de Datos Básico' para resolver un problema concreto.",política mínima de gobierno de datos,"DAMA-DMBOK concepts, Microsoft Purview docs, NIST Privacy Framework"
"Ruta 3 - Datos, BI y Herramientas",Power BI para Principiantes,power_bi_principiantes_web_v0_6_publica,"modelar, visualizar y publicar análisis con Power BI",inteligencia de negocios; Power Query; modelo semántico; relaciones; DAX; medidas; columnas calculadas; visualizaciones; filtros; publicación,"Problema que resuelve el curso y contexto profesional | Fundamentos: inteligencia de negocios, Power Query, modelo semántico, relaciones | Conceptos intermedios: DAX, medidas, columnas calculadas | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Power BI para Principiantes' para resolver un problema concreto.",dashboard de ventas con modelo simple,"Microsoft Learn Power BI, PL-300 learning path"
"Ruta 3 - Datos, BI y Herramientas",Python para Datos desde Cero,python_datos_desde_cero_v0_6_publica,analizar CSV con Python y pandas,variables; tipos de datos; funciones; archivos CSV; pandas; DataFrame; limpieza; nulos; agrupación; visualización,"Problema que resuelve el curso y contexto profesional | Fundamentos: variables, tipos de datos, funciones, archivos CSV | Conceptos intermedios: pandas, DataFrame, limpieza | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Python para Datos desde Cero' para resolver un problema concreto.",notebook de análisis exploratorio,"Python Docs, pandas User Guide, Matplotlib docs"
"Ruta 3 - Datos, BI y Herramientas",SQL Práctico para Análisis de Datos,sql_practico_analisis_datos_web_v0_6_publica,consultar datos relacionales para responder preguntas de negocio,modelo relacional; tabla; clave primaria; clave foránea; SELECT; WHERE; JOIN; GROUP BY; HAVING; agregaciones,"Problema que resuelve el curso y contexto profesional | Fundamentos: modelo relacional, tabla, clave primaria, clave foránea | Conceptos intermedios: SELECT, WHERE, JOIN | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'SQL Práctico para Análisis de Datos' para resolver un problema concreto.",set de consultas analíticas,"PostgreSQL docs, SQLite docs, Mode SQL tutorial"
"Ruta 3 - Datos, BI y Herramientas",Storytelling con Datos,storytelling_datos_v0_6_publica,transformar hallazgos en narrativa accionable,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Storytelling con Datos' para resolver un problema concreto.",presentación de insights,"Tableau visual analytics, Storytelling with Data principles, data visualization literature"
